"nu","effdiam","collision","bb_type","name","xml","output","stl_path"
0.1,15,"CM_HIGHER","bb","bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_15","batch_IBB_Poiseuille_pipe/bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_15.xml","output/batch_IBB_Poiseuille_pipe/bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_15/","WIP/Benchmarks/IBBPoiseuilleFlow3D/pipe_D15_L127.stl"
0.1,23,"CM_HIGHER","bb","bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_23","batch_IBB_Poiseuille_pipe/bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_23.xml","output/batch_IBB_Poiseuille_pipe/bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_23/","WIP/Benchmarks/IBBPoiseuilleFlow3D/pipe_D23_L127.stl"
0.1,31,"CM_HIGHER","bb","bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_31","batch_IBB_Poiseuille_pipe/bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_31.xml","output/batch_IBB_Poiseuille_pipe/bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_31/","WIP/Benchmarks/IBBPoiseuilleFlow3D/pipe_D31_L127.stl"
0.1,45,"CM_HIGHER","bb","bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_45","batch_IBB_Poiseuille_pipe/bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_45.xml","output/batch_IBB_Poiseuille_pipe/bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_45/","WIP/Benchmarks/IBBPoiseuilleFlow3D/pipe_D45_L127.stl"
0.1,61,"CM_HIGHER","bb","bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_61","batch_IBB_Poiseuille_pipe/bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_61.xml","output/batch_IBB_Poiseuille_pipe/bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_61/","WIP/Benchmarks/IBBPoiseuilleFlow3D/pipe_D61_L127.stl"
0.1,93,"CM_HIGHER","bb","bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_93","batch_IBB_Poiseuille_pipe/bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_93.xml","output/batch_IBB_Poiseuille_pipe/bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_93/","WIP/Benchmarks/IBBPoiseuilleFlow3D/pipe_D93_L127.stl"
0.1,121,"CM_HIGHER","bb","bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_121","batch_IBB_Poiseuille_pipe/bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_121.xml","output/batch_IBB_Poiseuille_pipe/bb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_121/","WIP/Benchmarks/IBBPoiseuilleFlow3D/pipe_D121_L127.stl"
0.1,15,"CM_HIGHER","ibb","ibb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_15","batch_IBB_Poiseuille_pipe/ibb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_15.xml","output/batch_IBB_Poiseuille_pipe/ibb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_15/","WIP/Benchmarks/IBBPoiseuilleFlow3D/pipe_D15_L127.stl"
0.1,23,"CM_HIGHER","ibb","ibb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_23","batch_IBB_Poiseuille_pipe/ibb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_23.xml","output/batch_IBB_Poiseuille_pipe/ibb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_23/","WIP/Benchmarks/IBBPoiseuilleFlow3D/pipe_D23_L127.stl"
0.1,31,"CM_HIGHER","ibb","ibb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_31","batch_IBB_Poiseuille_pipe/ibb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_31.xml","output/batch_IBB_Poiseuille_pipe/ibb_Poiseuille_pipe_CM_HIGHER_nu_0.1_effdiam_31/","WIP/Benchmarks/IBBPoiseuilleFlow3D/pipe_D31_L127.stl"
